Y_true,Y_predicted
1.713529918,2.132951209
1.942570204,1.954926365
2.352695647,2.376765678
1.04300841,1.520992455
1.99264187,2.325175245
1.865778887,1.952086152
1.100313187,1.234883082
1.870039273,1.828147301
0.697665163,0.899312569
1.0918761,1.167340109
1.614314428,1.555392856
1.760422483,2.146318499
3.058788797,1.853322735
1.973218917,1.93478376
1.394849019,2.448882473
0.808346036,1.792315184
1.265412399,1.67560274
1.722613359,2.13111016
2,2.107856058
2.020428618,2.084693669
1.61734438,3.077144909
1.362482475,1.696296187
3.561339941,2.047355363
2.036748629,2.195104737
1.831069526,1.716298314
2.084397519,2.027479792
1.069131371,1.134758871
1.635483747,1.600801293
1.971254969,1.950790127
0.917934166,1.965404331
1.912668348,1.575173655
3.418632687,2.010806995
1.561935763,2.323072417
1.807250492,1.749883336
1.870366142,2.056285198
2.051654807,2.104275276
1.898030047,1.597815115
1.041392685,2.058502572
1.230448921,2.060754878
2.541705125,1.917771756
2.159700843,2.013220209
1.143445756,1.370205173
1.691541194,2.050984413
1.301566018,1.466403147
1.870049395,1.820900887
1.339650158,1.671779736
1.990770017,1.983901957
1.083466785,1.671779736
2.12848466,2.048671527
2.121190389,2.174751296
0.879955585,1.370205173
1.780116632,1.763031133
1.176091259,2.062984318
0.767601068,1.792315184
2.200359834,2.06807097
0.722436471,1.812517286
2.725849586,2.011113759
1.916318253,1.922985671
2.380211242,1.719922714
1.124938737,2.079098508
2.515873844,1.9536649
1.124937651,1.44461929
3.771620401,2.051634749
0.954242509,2.060754878
2.161025566,1.872059714
2.991744947,2.23907134
1.637417354,2.146318499
2.267288768,2.347093139
1.584331224,1.627306695
2.32584721,2.322471112
1.564226307,1.919106138
1.849445739,1.811646924
0.88418908,0.955399051
0.857332496,1.391078545
1.9743259,2.105713647
1.360032672,1.890931349
2.788314526,1.817539269
1.152899596,2.121067683
2.13677219,2.029763206
1.853576544,1.643795197
1.535113202,2.128120154
0.760422483,1.567399845
1.471626944,1.813709882
1.823908741,1.965340989
1.357597207,1.727277764
1.756715202,1.904033757
2.491585788,1.92946534
0.923917223,1.445598814
2.560750466,2.321694865
1.223306918,1.86181618
1.27699764,1.652681789
2.040346553,2.144426209
1.578606469,2.128312653
1.634698895,1.575173655
2.061370476,2.177524639
1.849388699,1.876692511
3.826197425,2.027942443
0.780749231,1.134758871
1.91149287,1.869384759
1.204119983,2.061872428
0.538573734,1.178399589
2.664027889,2.268326298
1.212720154,1.737404361
1.494622044,1.864535511
1.433655561,2.111109122
0.923723784,1.279469473
2.044579667,1.710812695
1.911535786,1.879532725
2.5677349,2.116640864
2,2.103813176
2.560697879,3.134759564
2.147358332,1.956498374
3.038708291,2.275164303
3.869143631,2.036593274
1.459982217,1.727752839
3.594127251,1.61084468
0.954242509,2.060754878
2.147048827,2.105207606
1.272577472,1.709757953
1.723165016,1.821693299
3.962860847,1.843326874
1.290479813,1.556012953
2.345571996,1.925320487
1.658964843,1.634601777
0.774662923,1.556627214
2.406375515,2.36409225
1.033218624,1.01703572
1.532562497,1.911287521
2.497335019,1.958375862
3.323041607,1.691462545
2.108281788,1.768940211
2.109581921,2.102873433
2.260044116,1.982529361
1.177247836,1.538076625
2.13677219,2.029763206
3.216535357,1.784606113
2.237543738,2.11445974
0.851502953,2.103813176
1.084933575,1.560277125
1.188365926,1.445598814
1.846392787,1.783190643
1.983596006,1.813252601
1.263221694,1.584892897
2.042001258,2.169536529
1.848119501,2.14380887
1.087367704,1.445429679
0.934447949,1.256513422
1.947833677,1.859390119
1.777535564,2.13111016
1.538573734,1.609761095
2.103974669,2.103813176
1.716331413,1.749883336
2.42620563,1.957031664
2.002616688,2.030320006
2.128399269,2.042979504
1.216823947,0.89909661
2.282913293,1.891330279
1.90964673,1.998050339
2.095259042,2.096934544
2.24817871,2.097356053
2.571144348,2.077061338
2.214947113,2.048005419
3.372797894,1.957534589
1.394560241,2.135336161
1.395042305,1.934828694
2.009620841,1.010163651
0.617040622,1.385464035
3.765369969,2.053460853
1.862267714,1.910150772
2.805307034,2.127690035
2.03317147,2.021265262
1.444359727,1.550552282
1.115171003,1.717601548
2.297388412,1.783564658
1.471878199,1.718669094
1.557128942,2.050379442
1.786112284,1.5691331
1.146128036,2.062984318
3.785276065,2.022260332
3.915322996,2.041122257
2.205683132,2.146301678
1.517195898,2.252072184
1.767601068,2.059854256
2.013505319,1.904448961
2.252117609,2.027856174
1.805161873,1.783190643
1.060992607,1.391139028
2.299058899,1.957804976
1.146128036,2.064090608
3.153997687,1.784606113
2.549413139,3.077743594
3.613187669,2.04691449
2.486719681,1.916876223
1.362482475,1.605874304
1.750447965,1.998026155
2.760422483,2.241741438
1.401345389,1.560399105
3.155238842,2.044992379
2.603073699,2.116640864
2.402392081,2.321257436
2.473920027,1.937882658
2.331571025,1.940134375
1.929507965,1.783190643
0.741230411,1.01703572
3.030874863,2.461759558
0.870122869,1.370205173
2.00408094,2.177524639
1.487421211,1.783769861
2.462742302,1.954712545
1.33038623,1.718053643
1.809640506,1.880596113
2.003406759,1.997682222
2.39937651,1.925320487
1.614999748,1.716481027
2.100155068,2.168231581
1.927451721,2.093310582
